tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
280853182067,FEDEX_EXPRESS_SAVER,FDXE,5.0,YOUR_PACKAGING,Bangalore,KA,,Chennai,TN,,2021-06-28 18:18:00,2021-07-02 19:19:00,97.01666666666667,3,8,70.56666666666666,32.33888888888889,True,RESIDENCE,2,False,14
390808808594,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-03 16:19:00,2020-03-05 13:39:00,45.333333333333336,2,6,33.13333333333333,22.666666666666668,True,RESIDENCE,1,True,10
391018775697,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,2020-03-11 16:39:00,2020-03-14 13:21:00,68.7,3,8,59.050000000000004,22.900000000000002,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390948863631,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 15:12:00,2020-03-11 15:30:00,48.3,3,8,34.449999999999996,16.099999999999998,True,RECEPTIONIST_OR_FRONT_DESK,0,False,11
390767878200,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-02 16:23:00,2020-03-03 17:36:00,25.216666666666665,2,4,7.133333333333334,12.608333333333333,True,RESIDENCE,1,True,8
390871721487,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Mysuru,KA,,2020-03-05 19:20:00,2020-03-06 14:00:00,18.666666666666668,3,5,9.9,6.222222222222222,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390871798135,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-05 19:20:00,2020-03-09 18:30:00,95.16666666666667,3,8,41.733333333333334,31.722222222222225,True,RESIDENCE,1,True,13
390769051308,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-02 16:23:00,2020-03-06 18:19:00,97.93333333333334,2,8,67.5,48.96666666666667,True,SHIPPING_RECEIVING,3,False,14
390948867394,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Vadodara,GJ,,2020-03-09 15:12:00,2020-03-12 12:30:00,69.3,3,7,60.71666666666667,23.099999999999998,True,RECEPTIONIST_OR_FRONT_DESK,0,False,10
391080357350,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-13 17:14:00,2020-03-16 16:40:00,71.43333333333334,3,9,56.483333333333334,23.811111111111114,True,RESIDENCE,1,True,13
390769041097,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,2020-03-02 16:23:00,2020-03-05 16:20:00,71.95,2,8,57.93333333333333,35.975,True,RESIDENCE,1,True,12
390767756692,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-02 16:23:00,2020-03-04 19:00:00,50.61666666666667,2,7,38.21666666666666,25.308333333333334,True,RECEPTIONIST_OR_FRONT_DESK,0,False,10
391128713604,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-16 15:44:00,2020-03-21 10:50:00,115.1,3,8,100.48333333333333,38.36666666666667,True,RESIDENCE,2,False,14
390767773927,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-02 16:23:00,2020-03-04 13:00:00,44.61666666666667,2,7,31.4,22.308333333333334,True,RESIDENCE,1,True,11
390987545399,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-10 15:59:00,2020-03-12 14:55:00,46.93333333333333,3,8,40.35,15.644444444444444,True,RESIDENCE,1,True,12
390871765957,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-05 19:20:00,2020-03-07 18:00:00,46.666666666666664,3,6,34.95,15.555555555555555,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391049864544,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,2020-03-12 16:17:00,2020-03-17 18:07:00,121.83333333333333,3,10,91.4,40.61111111111111,True,RESIDENCE,2,False,16
390767863940,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-02 16:23:00,2020-03-07 18:30:00,122.11666666666666,2,8,106.98333333333333,61.05833333333333,True,RECEPTIONIST_OR_FRONT_DESK,2,False,15
390948901463,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-09 15:12:00,2020-03-10 18:48:00,27.6,3,5,10.799999999999999,9.200000000000001,True,RESIDENCE,1,True,9
390950797924,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-09 15:12:00,2020-03-10 15:30:00,24.3,3,5,10.799999999999999,8.1,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390767768950,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Rajnandgaon,CT,,2020-03-02 16:23:00,2020-03-05 17:30:00,73.11666666666666,2,7,63.050000000000004,36.55833333333333,True,RECEPTIONIST_OR_FRONT_DESK,0,False,10
390839698450,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Kolkata,WB,,2020-03-05 19:20:00,2020-03-11 17:09:00,141.81666666666666,3,9,133.00000000000003,47.27222222222222,True,RESIDENCE,1,True,13
391080351396,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-13 17:14:00,2020-03-17 13:21:00,92.11666666666666,3,6,80.31666666666665,30.705555555555552,True,RESIDENCE,1,True,10
